item_id,item_name,category,size,temperature,description,price_inr,rating,calories,availability
ITEM0083,Cold Coffee,Coffee,Small,Cold,"Small Cold Coffee, light and refreshing, served cold.",303,4.1,458,Available
ITEM0084,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, sweet and aromatic, served cold.",450,3.5,538,Available
ITEM0085,Iced Mocha,Breakfast,Small,Cold,"Small Iced Mocha, chocolate flavored, served cold.",383,4.2,87,Available
ITEM0086,Vanilla Latte,Coffee,Medium,Hot,"Medium Vanilla Latte, caramel flavored, served hot.",316,3.5,326,Out of Stock
ITEM0087,Flat White,Coffee,Small,Cold,"Small Flat White, nutty and balanced, served cold.",247,3.8,448,Available
ITEM0088,Hazelnut Coffee,Coffee,Medium,Cold,"Medium Hazelnut Coffee, mild and creamy, served cold.",121,4.0,612,Available
ITEM0089,Flat White,Coffee,Small,Hot,"Small Flat White, smooth and creamy, served hot.",413,3.3,91,Available
ITEM0090,Latte,Coffee,Small,Hot,"Small Latte, rich and strong, served hot.",202,3.4,177,Available
ITEM0091,Cold Coffee,Coffee,Large,Cold,"Large Cold Coffee, light and refreshing, served cold.",268,3.5,177,Available
ITEM0092,Mocha,Coffee,Small,Hot,"Small Mocha, sweet and aromatic, served hot.",239,4.2,444,Out of Stock
ITEM0093,Caramel Latte,Coffee,Small,Hot,"Small Caramel Latte, chocolate flavored, served hot.",383,4.4,308,Available
ITEM0094,Caramel Latte,Coffee,Medium,Hot,"Medium Caramel Latte, caramel flavored, served hot.",369,4.6,415,Out of Stock
ITEM0095,Vanilla Latte,Coffee,Medium,Hot,"Medium Vanilla Latte, nutty and balanced, served hot.",339,4.4,72,Out of Stock
ITEM0096,Irish Cream Coffee,Coffee,Medium,Hot,"Medium Irish Cream Coffee, mild and creamy, served hot.",301,4.9,530,Available
ITEM0097,Macchiato,Coffee,Small,Cold,"Small Macchiato, smooth and creamy, served cold.",395,4.7,611,Out of Stock
ITEM0098,Cold Coffee,Coffee,Medium,Cold,"Medium Cold Coffee, rich and strong, served cold.",245,4.7,148,Available
ITEM0099,Affogato,Snack,Small,Cold,"Small Affogato, light and refreshing, served cold.",371,4.3,448,Available
ITEM0100,Espresso,Coffee,Medium,Cold,"Medium Espresso, sweet and aromatic, served cold.",173,4.1,423,Available
ITEM0101,Flat White,Coffee,Medium,Cold,"Medium Flat White, chocolate flavored, served cold.",364,3.2,255,Available
ITEM0102,Latte,Coffee,Large,Cold,"Large Latte, caramel flavored, served cold.",330,4.2,306,Out of Stock
ITEM0103,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, nutty and balanced, served cold.",309,4.6,155,Available
ITEM0104,Latte,Coffee,Medium,Hot,"Medium Latte, mild and creamy, served hot.",236,4.4,437,Out of Stock
ITEM0105,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, smooth and creamy, served cold.",297,5.0,623,Available
ITEM0106,Flat White,Coffee,Large,Cold,"Large Flat White, rich and strong, served cold.",218,3.8,296,Available
ITEM0107,Caramel Latte,Coffee,Small,Cold,"Small Caramel Latte, light and refreshing, served cold.",141,4.5,249,Available
ITEM0108,Latte,Coffee,Large,Cold,"Large Latte, sweet and aromatic, served cold.",221,4.5,597,Available
ITEM0109,Americano,Coffee,Small,Cold,"Small Americano, chocolate flavored, served cold.",196,3.8,369,Available
ITEM0110,Caramel Latte,Coffee,Large,Hot,"Large Caramel Latte, caramel flavored, served hot.",220,3.3,115,Available
ITEM0111,Caramel Latte,Coffee,Small,Cold,"Small Caramel Latte, nutty and balanced, served cold.",132,4.8,647,Available
ITEM0112,Cold Coffee,Coffee,Medium,Cold,"Medium Cold Coffee, mild and creamy, served cold.",254,3.5,112,Available
ITEM0113,Irish Cream Coffee,Coffee,Medium,Hot,"Medium Irish Cream Coffee, smooth and creamy, served hot.",113,3.9,135,Available
ITEM0114,Cappuccino,Coffee,Small,Cold,"Small Cappuccino, rich and strong, served cold.",123,5.0,181,Out of Stock
ITEM0115,Iced Mocha,Breakfast,Large,Hot,"Large Iced Mocha, light and refreshing, served hot.",347,3.9,513,Available
ITEM0116,Irish Cream Coffee,Coffee,Large,Cold,"Large Irish Cream Coffee, sweet and aromatic, served cold.",236,4.2,121,Available
ITEM0117,Hazelnut Coffee,Coffee,Small,Hot,"Small Hazelnut Coffee, chocolate flavored, served hot.",215,4.4,220,Available
ITEM0118,Cappuccino,Coffee,Large,Hot,"Large Cappuccino, caramel flavored, served hot.",160,3.2,521,Out of Stock
ITEM0119,Mocha,Coffee,Small,Hot,"Small Mocha, nutty and balanced, served hot.",227,4.5,524,Available
ITEM0120,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, mild and creamy, served cold.",400,4.3,262,Out of Stock
ITEM0121,Americano,Coffee,Large,Hot,"Large Americano, smooth and creamy, served hot.",411,3.5,332,Available
ITEM0122,Americano,Coffee,Small,Hot,"Small Americano, rich and strong, served hot.",237,4.3,642,Available
ITEM0123,Cold Coffee,Coffee,Small,Cold,"Small Cold Coffee, light and refreshing, served cold.",432,3.7,472,Available
ITEM0124,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, sweet and aromatic, served cold.",304,3.3,100,Out of Stock
ITEM0125,Caramel Latte,Coffee,Medium,Cold,"Medium Caramel Latte, chocolate flavored, served cold.",93,3.4,649,Available
ITEM0126,Hazelnut Coffee,Coffee,Large,Cold,"Large Hazelnut Coffee, caramel flavored, served cold.",375,3.3,239,Out of Stock
ITEM0127,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, nutty and balanced, served cold.",222,3.5,506,Out of Stock
ITEM0128,Americano,Coffee,Medium,Cold,"Medium Americano, mild and creamy, served cold.",289,3.8,167,Available
ITEM0129,Flat White,Coffee,Medium,Cold,"Medium Flat White, smooth and creamy, served cold.",227,4.4,470,Available
ITEM0130,Cold Coffee,Coffee,Small,Cold,"Small Cold Coffee, rich and strong, served cold.",209,3.8,473,Available
ITEM0131,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, light and refreshing, served cold.",291,3.3,590,Available
ITEM0132,Iced Mocha,Snack,Large,Cold,"Large Iced Mocha, sweet and aromatic, served cold.",106,3.6,622,Available
ITEM0133,Affogato,Sandwich,Medium,Cold,"Medium Affogato, chocolate flavored, served cold.",142,3.3,305,Available
ITEM0134,Mocha,Coffee,Large,Hot,"Large Mocha, caramel flavored, served hot.",362,3.9,290,Available
ITEM0135,Cold Coffee,Coffee,Small,Hot,"Small Cold Coffee, nutty and balanced, served hot.",335,4.9,358,Available
ITEM0136,Macchiato,Coffee,Medium,Cold,"Medium Macchiato, mild and creamy, served cold.",204,4.0,208,Out of Stock
ITEM0137,Latte,Coffee,Large,Hot,"Large Latte, smooth and creamy, served hot.",115,3.7,484,Available
ITEM0138,Affogato,Breakfast,Medium,Hot,"Medium Affogato, rich and strong, served hot.",224,4.5,561,Available
ITEM0139,Cold Coffee,Coffee,Large,Cold,"Large Cold Coffee, light and refreshing, served cold.",256,3.8,616,Out of Stock
ITEM0140,Cold Coffee,Coffee,Medium,Hot,"Medium Cold Coffee, sweet and aromatic, served hot.",437,3.6,452,Available
ITEM0141,Irish Cream Coffee,Coffee,Medium,Hot,"Medium Irish Cream Coffee, chocolate flavored, served hot.",242,4.5,450,Out of Stock
ITEM0142,Vanilla Latte,Coffee,Large,Hot,"Large Vanilla Latte, caramel flavored, served hot.",333,4.9,189,Available
ITEM0143,Irish Cream Coffee,Coffee,Small,Cold,"Small Irish Cream Coffee, nutty and balanced, served cold.",131,4.1,527,Available
ITEM0144,Caramel Latte,Coffee,Small,Cold,"Small Caramel Latte, mild and creamy, served cold.",415,4.9,136,Out of Stock
ITEM0145,Hazelnut Coffee,Coffee,Medium,Cold,"Medium Hazelnut Coffee, smooth and creamy, served cold.",399,4.4,142,Available
ITEM0146,Irish Cream Coffee,Coffee,Large,Cold,"Large Irish Cream Coffee, rich and strong, served cold.",242,4.3,559,Available
ITEM0147,Iced Mocha,Tea,Small,Cold,"Small Iced Mocha, light and refreshing, served cold.",196,4.5,504,Available
ITEM0148,Hazelnut Coffee,Coffee,Large,Hot,"Large Hazelnut Coffee, sweet and aromatic, served hot.",307,3.5,366,Available
ITEM0149,Espresso,Coffee,Medium,Hot,"Medium Espresso, chocolate flavored, served hot.",230,3.8,501,Available
ITEM0150,Latte,Coffee,Large,Cold,"Large Latte, caramel flavored, served cold.",369,4.4,244,Available
ITEM0151,Cappuccino,Coffee,Small,Cold,"Small Cappuccino, nutty and balanced, served cold.",397,4.4,569,Available
ITEM0152,Latte,Coffee,Medium,Cold,"Medium Latte, mild and creamy, served cold.",315,3.7,69,Out of Stock
ITEM0153,Affogato,Sandwich,Large,Hot,"Large Affogato, smooth and creamy, served hot.",117,4.0,413,Available
ITEM0154,Vanilla Latte,Coffee,Medium,Cold,"Medium Vanilla Latte, rich and strong, served cold.",313,4.7,263,Out of Stock
ITEM0155,Irish Cream Coffee,Coffee,Medium,Hot,"Medium Irish Cream Coffee, light and refreshing, served hot.",201,3.9,427,Available
ITEM0156,Caramel Latte,Coffee,Medium,Hot,"Medium Caramel Latte, sweet and aromatic, served hot.",417,3.9,68,Available
ITEM0157,Affogato,Breakfast,Large,Cold,"Large Affogato, chocolate flavored, served cold.",226,4.6,295,Available
ITEM0158,Latte,Coffee,Large,Hot,"Large Latte, caramel flavored, served hot.",397,3.7,200,Available
ITEM0159,Affogato,Beverage,Large,Hot,"Large Affogato, nutty and balanced, served hot.",238,4.6,94,Available
ITEM0160,Caramel Latte,Coffee,Small,Hot,"Small Caramel Latte, mild and creamy, served hot.",231,3.8,485,Available
ITEM0161,Latte,Coffee,Small,Cold,"Small Latte, smooth and creamy, served cold.",351,4.1,339,Available
ITEM0162,Mocha,Coffee,Medium,Cold,"Medium Mocha, rich and strong, served cold.",253,4.6,539,Available
ITEM0163,Cappuccino,Coffee,Small,Cold,"Small Cappuccino, light and refreshing, served cold.",365,3.9,464,Available
ITEM0164,Mocha,Coffee,Large,Hot,"Large Mocha, sweet and aromatic, served hot.",312,3.9,328,Out of Stock
ITEM0165,Irish Cream Coffee,Coffee,Large,Cold,"Large Irish Cream Coffee, chocolate flavored, served cold.",135,4.4,542,Available
ITEM0166,Iced Mocha,Breakfast,Medium,Hot,"Medium Iced Mocha, caramel flavored, served hot.",411,3.3,535,Available
ITEM0167,Vanilla Latte,Coffee,Medium,Hot,"Medium Vanilla Latte, nutty and balanced, served hot.",151,3.3,98,Available
ITEM0168,Cold Coffee,Coffee,Small,Hot,"Small Cold Coffee, mild and creamy, served hot.",200,4.8,198,Out of Stock
ITEM0169,Cold Coffee,Coffee,Medium,Cold,"Medium Cold Coffee, smooth and creamy, served cold.",380,4.5,218,Out of Stock
ITEM0170,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, rich and strong, served cold.",395,3.9,346,Available
ITEM0171,Caramel Latte,Coffee,Medium,Hot,"Medium Caramel Latte, light and refreshing, served hot.",307,4.0,301,Available
ITEM0172,Americano,Coffee,Large,Cold,"Large Americano, sweet and aromatic, served cold.",358,4.8,427,Available
ITEM0173,Macchiato,Coffee,Medium,Hot,"Medium Macchiato, chocolate flavored, served hot.",142,4.9,525,Available
ITEM0174,Vanilla Latte,Coffee,Small,Hot,"Small Vanilla Latte, caramel flavored, served hot.",105,4.6,309,Available
ITEM0175,Hazelnut Coffee,Coffee,Large,Hot,"Large Hazelnut Coffee, nutty and balanced, served hot.",115,4.7,627,Available
ITEM0176,Iced Mocha,Dessert,Small,Cold,"Small Iced Mocha, mild and creamy, served cold.",155,4.6,62,Available
ITEM0177,Irish Cream Coffee,Coffee,Small,Hot,"Small Irish Cream Coffee, smooth and creamy, served hot.",356,3.7,238,Available
ITEM0178,Vanilla Latte,Coffee,Small,Hot,"Small Vanilla Latte, rich and strong, served hot.",87,3.8,303,Available
ITEM0179,Espresso,Coffee,Small,Cold,"Small Espresso, light and refreshing, served cold.",106,3.4,491,Available
ITEM0180,Caramel Latte,Coffee,Small,Cold,"Small Caramel Latte, sweet and aromatic, served cold.",309,4.6,585,Available
ITEM0181,Cold Coffee,Coffee,Large,Hot,"Large Cold Coffee, chocolate flavored, served hot.",394,3.3,593,Available
ITEM0182,Cold Coffee,Coffee,Large,Hot,"Large Cold Coffee, caramel flavored, served hot.",111,5.0,471,Out of Stock
ITEM0183,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, nutty and balanced, served cold.",444,4.8,135,Available
ITEM0184,Flat White,Coffee,Large,Hot,"Large Flat White, mild and creamy, served hot.",113,3.4,621,Available
ITEM0185,Macchiato,Coffee,Large,Cold,"Large Macchiato, smooth and creamy, served cold.",312,4.1,500,Available
ITEM0186,Hazelnut Coffee,Coffee,Large,Hot,"Large Hazelnut Coffee, rich and strong, served hot.",415,4.4,624,Available
ITEM0187,Macchiato,Coffee,Medium,Hot,"Medium Macchiato, light and refreshing, served hot.",291,3.8,524,Out of Stock
ITEM0188,Macchiato,Coffee,Large,Hot,"Large Macchiato, sweet and aromatic, served hot.",240,4.0,321,Available
ITEM0189,Cappuccino,Coffee,Large,Cold,"Large Cappuccino, chocolate flavored, served cold.",114,3.4,147,Available
ITEM0190,Macchiato,Coffee,Small,Cold,"Small Macchiato, caramel flavored, served cold.",146,4.2,635,Available
ITEM0191,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, nutty and balanced, served cold.",261,4.8,493,Available
ITEM0192,Mocha,Coffee,Large,Cold,"Large Mocha, mild and creamy, served cold.",260,3.4,579,Available
ITEM0193,Cappuccino,Coffee,Large,Cold,"Large Cappuccino, smooth and creamy, served cold.",194,4.7,418,Available
ITEM0194,Americano,Coffee,Medium,Hot,"Medium Americano, rich and strong, served hot.",299,4.7,630,Available
ITEM0195,Iced Mocha,Beverage,Large,Cold,"Large Iced Mocha, light and refreshing, served cold.",94,3.5,376,Available
ITEM0196,Flat White,Coffee,Small,Hot,"Small Flat White, sweet and aromatic, served hot.",153,4.2,470,Available
ITEM0197,Cappuccino,Coffee,Large,Hot,"Large Cappuccino, chocolate flavored, served hot.",126,4.5,280,Out of Stock
ITEM0198,Macchiato,Coffee,Medium,Cold,"Medium Macchiato, caramel flavored, served cold.",160,3.9,392,Available
ITEM0199,Affogato,Tea,Small,Hot,"Small Affogato, nutty and balanced, served hot.",396,3.3,143,Available
ITEM0200,Cold Coffee,Coffee,Large,Cold,"Large Cold Coffee, mild and creamy, served cold.",328,4.3,484,Available
ITEM0201,Latte,Coffee,Large,Hot,"Large Latte, smooth and creamy, served hot.",256,4.0,350,Out of Stock
ITEM0202,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, rich and strong, served cold.",103,3.6,116,Available
ITEM0203,Latte,Coffee,Medium,Hot,"Medium Latte, light and refreshing, served hot.",150,4.6,356,Available
ITEM0204,Americano,Coffee,Small,Cold,"Small Americano, sweet and aromatic, served cold.",300,3.5,449,Available
ITEM0205,Iced Latte,Coffee,Large,Cold,"Large Iced Latte, chocolate flavored, served cold.",116,3.9,103,Out of Stock
ITEM0206,Espresso,Coffee,Medium,Hot,"Medium Espresso, caramel flavored, served hot.",240,4.2,647,Out of Stock
ITEM0207,Caramel Latte,Coffee,Large,Cold,"Large Caramel Latte, nutty and balanced, served cold.",228,3.4,81,Available
ITEM0208,Cappuccino,Coffee,Large,Cold,"Large Cappuccino, mild and creamy, served cold.",433,4.9,150,Out of Stock
ITEM0209,Irish Cream Coffee,Coffee,Small,Hot,"Small Irish Cream Coffee, smooth and creamy, served hot.",303,4.3,596,Available
ITEM0210,Macchiato,Coffee,Medium,Cold,"Medium Macchiato, rich and strong, served cold.",193,3.8,232,Available
ITEM0211,Iced Latte,Coffee,Large,Hot,"Large Iced Latte, light and refreshing, served hot.",351,4.1,417,Available
ITEM0212,Caramel Latte,Coffee,Large,Hot,"Large Caramel Latte, sweet and aromatic, served hot.",200,3.4,322,Available
ITEM0213,Cappuccino,Coffee,Large,Hot,"Large Cappuccino, chocolate flavored, served hot.",415,3.3,565,Out of Stock
ITEM0214,Hazelnut Coffee,Coffee,Large,Cold,"Large Hazelnut Coffee, caramel flavored, served cold.",428,4.9,638,Available
ITEM0215,Irish Cream Coffee,Coffee,Large,Cold,"Large Irish Cream Coffee, nutty and balanced, served cold.",157,4.0,540,Out of Stock
ITEM0216,Vanilla Latte,Coffee,Medium,Cold,"Medium Vanilla Latte, mild and creamy, served cold.",382,3.3,579,Available
ITEM0217,Mocha,Coffee,Medium,Cold,"Medium Mocha, smooth and creamy, served cold.",99,3.3,353,Available
ITEM0218,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, rich and strong, served cold.",316,4.2,102,Out of Stock
ITEM0219,Affogato,Breakfast,Large,Hot,"Large Affogato, light and refreshing, served hot.",244,4.3,573,Available
ITEM0220,Espresso,Coffee,Medium,Hot,"Medium Espresso, sweet and aromatic, served hot.",255,5.0,146,Available
ITEM0221,Espresso,Coffee,Small,Cold,"Small Espresso, chocolate flavored, served cold.",304,4.1,222,Available
ITEM0222,Flat White,Coffee,Medium,Cold,"Medium Flat White, caramel flavored, served cold.",289,4.6,113,Available
ITEM0223,Americano,Coffee,Medium,Hot,"Medium Americano, nutty and balanced, served hot.",365,4.4,350,Available
ITEM0224,Caramel Latte,Coffee,Large,Hot,"Large Caramel Latte, mild and creamy, served hot.",250,3.3,204,Available
ITEM0225,Mocha,Coffee,Large,Cold,"Large Mocha, smooth and creamy, served cold.",146,4.3,146,Available
ITEM0226,Iced Latte,Coffee,Medium,Cold,"Medium Iced Latte, rich and strong, served cold.",145,4.4,599,Available
ITEM0227,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, light and refreshing, served cold.",340,3.9,431,Available
ITEM0228,Cappuccino,Coffee,Small,Cold,"Small Cappuccino, sweet and aromatic, served cold.",328,3.5,200,Available
ITEM0229,Americano,Coffee,Medium,Hot,"Medium Americano, chocolate flavored, served hot.",339,4.6,599,Available
